Object ID,Street Name,Street Type,CNN ID,Street Name 2,Street Type 2,Street Name 3,Street Type 3,Street Name 4,Street Type 4,Annual Pedestrian Volume,Last Edited Date,Geom
388,MARGARET,AVE,22196000,LAKEVIEW,AVE, , , , ,84899,,"(37.7173805915, -122.452655059)"
389,BRAZIL,AVE,33338000,MANSELL,ST, , , , ,149954,,"(37.7178923176, -122.422486197)"
390,LE CONTE,AVE,20461000,JENNINGS,ST, , , , ,133029,,"(37.718314712, -122.396568211)"
391,BUCARELI,DR,23049000,GONZALEZ,DR, , , , ,727366,,"(37.716947275, -122.479993964)"
392,NAPLES,ST,21713000,FRANCE,AVE, , , , ,277042,,"(37.7177489558, -122.43356856)"
393,J,ST,51608000,I,ST, , , , ,333793,,"(37.7188062872, -122.368342791)"
394,UNNAMED 088,0,51445000,UNNAMED 083,0, , , , ,365631,,"(37.7170878253, -122.47380714)"
395,CHURCH PARKI,0,33709000,CHURCH ACCES,RD, , , , ,212414,,"(37.7139932679, -122.475622093)"
396,MOUNT VERNON,AVE,21489000,MISSION,ST, , , , ,4263485,,"(37.7145721357, -122.442674738)"
397,TEDDY,AVE,20360000,DELTA,ST, , , , ,174508,,"(37.7151606194, -122.408616591)"
398,ATHENS,ST,21406000,AMAZON,AVE, , , , ,376076,,"(37.7147568333, -122.43365232)"
399,DEL MONTE,ST,21515000,OTTAWA,AVE, , , , ,310262,,"(37.7145820604, -122.44494904)"
400,FORT FUNSTON,RD,33710000,SKYLINE,BLVD, , , , ,210344,,"(37.7136990593, -122.498370237)"
401,NEWTON,ST,21473000,ROLPH,ST, , , , ,334045,,"(37.7146987521, -122.439204311)"
402,ORIZABA,AVE,22497000,RANDOLPH,ST, , , , ,216420,,"(37.714312589, -122.462615254)"
403,RANDOLPH,ST,22496000,BRIGHT,ST, , , , ,135327,,"(37.7143057161, -122.463512912)"
404,RUTLAND,ST,20333000,CAMPBELL,AVE, , , , ,184240,,"(37.7152492854, -122.406202574)"
405,RANDOLPH,ST,22522000,HEAD,ST, , , , ,148436,,"(37.7142988099, -122.464413971)"
406,ALLISON,ST,21480000,MISSION,ST, , , , ,2660932,,"(37.7146655563, -122.442578175)"
407,CASTELO,AVE,23018000,GONZALEZ,DR, , , , ,701804,,"(37.7174203333, -122.475266697)"
408,RIDGE,LN,33457000,SAN JOSE,AVE, , , , ,40797,,"(37.7178867007, -122.449097858)"
409,FRANCE,AVE,21714000,EDINBURG,ST, , , , ,176066,,"(37.7181301436, -122.43436771)"
410,VIDAL,DR,33488000,UNNAMED 112,0, , , , ,320396,,"(37.717304425, -122.484802629)"
411,MANSELL,ST,21605000,PERSIA,AVE,SUNNYDALE,AVE, , ,177198,,"(37.7182843279, -122.425848027)"
412,CAYUGA,AVE,22082000,NIAGARA,AVE, , , , ,199340,,"(37.718000348, -122.444719422)"
413,CASTELO,AVE,23017000,UNNAMED 088,0,CAMBON,DR, , ,572831,,"(37.7175124216, -122.474395921)"
414,ITALY,AVE,21733000,LONDON,ST, , , , ,143730,,"(37.71812382, -122.438784424)"
415,WARD,ST,20560000,BRUSSELS,ST, , , , ,83464,,"(37.7187256364, -122.40211579)"
416,OTEGA,AVE,22167000,MOUNT VERNON,AVE, , , , ,101536,,"(37.7179875719, -122.447357362)"
417,GRIJALVA,DR,23045000,JUAN BAUTIST,CIR, , , , ,611053,,"(37.7174890324, -122.478126127)"
418,BAY SHORE,BLVD,33173000,KEITH,ST,MEADE,AVE, , ,13098,,"(37.7187973058, -122.398926501)"
419,LE CONTE,AVE,20467000,03RD,ST, , , , ,434681,,"(37.7188392994, -122.39749194)"
420,SAN MIGUEL,ST,22179000,RIDGE,LN, , , , ,39489,,"(37.7180374684, -122.449579789)"
421,JENNINGS,ST,20264000,KEY,AVE, , , , ,134428,,"(37.7189370309, -122.396008115)"
422,GONZALEZ,DR,23093000,RIVAS,AVE, , , , ,743996,,"(37.7175355355, -122.481556053)"
423,FONT,BLVD,23038000,JUAN BAUTIST,CIR, , , , ,731066,,"(37.71763475, -122.477322457)"
424,CAINE,AVE,22180000,RIDGE,LN, , , , ,47676,,"(37.7181276315, -122.449868004)"
425,VISITACION,AVE,33350000,MANSELL,ST, , , , ,187848,,"(37.7187590412, -122.411686531)"
426,BERTITA,ST,22048000,SENECA,AVE, , , , ,395931,,"(37.7182951708, -122.440901113)"
427,ORIZABA,AVE,52067000,SHIELDS,ST, , , , ,8860,,"(37.7179409712, -122.46265284)"
428,SHIELDS,ST,22601000,BRIGHT,ST, , , , ,115239,,"(37.7179349939, -122.463555142)"
429,HEAD,ST,22691000,SHIELDS,ST, , , , ,105058,,"(37.7179290382, -122.464453076)"
430,BANNOCK,ST,22084000,GENEVA,AVE, , , , ,222370,,"(37.718291789, -122.442900285)"
431,VICTORIA,ST,22697000,SHIELDS,ST, , , , ,87317,,"(37.7179230472, -122.465355276)"
432,ANKENY,ST,20587000,BISHOP,ST, , , , ,100854,,"(37.7189332618, -122.404064112)"
433,GIRARD,ST,20559000,WARD,ST, , , , ,68294,,"(37.7189848835, -122.401135342)"
434,SHIELDS,ST,22698000,RAMSELL,ST, , , , ,87427,,"(37.71791711, -122.466248488)"
435,INGERSON,AVE,20441000,INGALLS,ST, , , , ,93827,,"(37.7191185841, -122.392994743)"
436,KEITH,ST,53010000,03RD,ST, , , , ,14259,,"(37.7190373474, -122.39870822)"
437,HWY 101 N OF,RAMP,52121000,BAY SHORE,BLVD, , , , ,101637,,"(37.7190344409, -122.398980307)"
438,VERNON,ST,22718000,SHIELDS,ST, , , , ,104045,,"(37.7179051157, -122.468049669)"
439,SHAWNEE,AVE,22094000,DELANO,AVE, , , , ,215480,,"(37.7182693515, -122.446276249)"
440,SHIELDS,ST,22719000,RALSTON,ST, , , , ,104209,,"(37.7178990805, -122.468954353)"
441,BYXBEE,ST,22721000,SHIELDS,ST, , , , ,116670,,"(37.7178930938, -122.469850843)"
442,SHIELDS,ST,22726000,MONTICELLO,ST, , , , ,118789,,"(37.7178871069, -122.470746183)"
443,HOLYOKE,ST,20842000,ANKENY,ST, , , , ,172766,,"(37.7197419762, -122.405810281)"
444,JUAN BAUTIST,CIR,23051000,FONT,BLVD, , , , ,745646,,"(37.7185434955, -122.478569246)"
445,MOUNT VERNON,AVE,22181000,TARA,ST, , , , ,68862,,"(37.7190295558, -122.450009698)"
446,ANKENY,ST,20843000,DELTA,ST, , , , ,107217,,"(37.7197587243, -122.406444516)"
447,MANSELL,ST,20846000,BOWDOIN,ST, , , , ,104402,,"(37.7197409415, -122.407990133)"
448,FRANCE,AVE,21730000,PARIS,ST, , , , ,63934,,"(37.7192737487, -122.436769544)"
449,HIGUERA,AVE,23100000,ARBALLO,DR, , , , ,722028,,"(37.7185222852, -122.483156662)"
450,CAMERON,WAY,20099000,NICHOLS,WAY, , , , ,285299,,"(37.7201293872, -122.38857726)"
451,MISSION,ST,21736000,KENNY,ALY, , , , ,679607,,"(37.7193142982, -122.438876698)"
452,BRUSSELS,ST,20571000,ORDWAY,ST, , , , ,75609,,"(37.7199277148, -122.402597806)"
453,STRATFORD,DR,33516000,JUNIPERO SER,BLVD, , , , ,554266,,"(37.7187737796, -122.472809486)"
454,HIGUERA,AVE,23109000,VIDAL,DR, , , , ,657635,,"(37.7185758201, -122.484790897)"
455,JUAN BAUTIST,CIR,23050000,FUENTE,AVE, , , , ,731215,,"(37.7186905382, -122.478109989)"
456,HIGUERA,AVE,23112000,LAKE MERCED,BLVD, , , , ,586960,,"(37.7185792939, -122.485090005)"
457,BANCROFT,AVE,33146000,ARELIOUS WAL,DR, , , , ,317777,,"(37.7203079985, -122.38346603)"
458,NAVAJO,AVE,22089000,CAYUGA,AVE, , , , ,315678,,"(37.7193878174, -122.443098742)"
459,INGERSON,AVE,20458000,JENNINGS,ST, , , , ,138765,,"(37.7201801623, -122.394865253)"
460,MANSELL,ST,20847000,HAMILTON,ST, , , , ,97222,,"(37.7199960557, -122.407011119)"
461,NICHOLS,WAY,20100000,CAMERON,WAY, , , , ,298080,,"(37.7203619675, -122.386256342)"
462,HWY 101 S ON,RAMP,20460000,03RD,ST,JAMESTOWN,AVE, , ,640241,,"(37.7202358542, -122.396630232)"
463,MOSCOW,ST,21628000,PERSIA,AVE, , , , ,204875,,"(37.71971653, -122.428817822)"
464,LOUISBURG,ST,22184000,MOUNT VERNON,AVE, , , , ,158239,,"(37.7193598228, -122.450833865)"
465,GIRARD,ST,20563000,ORDWAY,ST, , , , ,68900,,"(37.7201866245, -122.40161313)"
466,GILMAN,AVE,20443000,INGALLS,ST, , , , ,201421,,"(37.7203540409, -122.391883548)"
467,MANSELL,ST,20603000,HOLYOKE,ST, , , , ,143501,,"(37.7201366698, -122.405998591)"
468,KEY,AVE,33184000,KEITH,ST, , , , ,260278,,"(37.7202917347, -122.39758171)"
469,SEMINOLE,AVE,22097000,DELANO,AVE, , , , ,297276,,"(37.7195171438, -122.445497917)"
470,NIAGARA,AVE,22174000,SAN JOSE,AVE,NAHUA,AVE, , ,169651,,"(37.7194860576, -122.447575274)"
471,FRANCE,AVE,21734000,LONDON,ST, , , , ,76121,,"(37.7196546385, -122.437571945)"
472,I,ST,51602000,MANSEAU,ST, , , , ,431784,,"(37.7207519991, -122.369701847)"
473,CAMBON,DR,33531000,CARDENAS,AVE, , , , ,494004,,"(37.7190411964, -122.474876402)"
474,I-280 NORTHB,0,52134000,I-280 N OFF,RAMP, , , , ,527527,,"(37.7195022152, -122.448207023)"
475,VICTORIA,ST,22520000,RANDOLPH,ST, , , , ,135109,,"(37.7142919123, -122.465312936)"
476,RAMSELL,ST,22523000,RANDOLPH,ST, , , , ,101555,,"(37.7142850097, -122.466211888)"
477,BAYVIEW PARK,RD,33230000,KEY,AVE, , , , ,15136,,"(37.7154994159, -122.392375498)"
478,RANDOLPH,ST,22525000,ARCH,ST, , , , ,83535,,"(37.7142781241, -122.467107536)"
479,RANDOLPH,ST,22539000,VERNON,ST, , , , ,101648,,"(37.7142711839, -122.468009354)"
480,SAN BRUNO,AVE,20295000,CAMPBELL,AVE, , , , ,245681,,"(37.7153952589, -122.39956096)"
481,JAMESTOWN,AVE,20010000,GILROY,ST, , , , ,33059,,"(37.715562562, -122.38945088)"
482,DONAHUE,ST,20051000,FITZGERALD,AVE, , , , ,333466,,"(37.7156870857, -122.381984207)"
483,CHURCH ACCES,RD,33708000,BROTHERHOOD,WAY, , , , ,694357,,"(37.7141619084, -122.475488314)"
484,FONT,BLVD,22549000,JUNIPERO SER,BLVD, , , , ,265235,,"(37.7142338706, -122.47172471)"
485,ALEMANY,BLVD,21526000,FOOTE,AVE, , , , ,185708,,"(37.7146523253, -122.447280526)"
486,RANDOLPH,ST,22546000,CHESTER,AVE, , , , ,296121,,"(37.7142821704, -122.470476936)"
487,SALA,TER,21524000,HURON,AVE, , , , ,303184,,"(37.7147057596, -122.446225914)"
488,MADRID,ST,21441000,GENEVA,AVE, , , , ,1165211,,"(37.7149449864, -122.437818475)"
489,ITALY,AVE,21400000,MOSCOW,ST, , , , ,368572,,"(37.7150431573, -122.43233661)"
490,CAYUGA,AVE,21566000,MODOC,AVE, , , , ,77338,,"(37.7147776441, -122.448755662)"
491,TIOGA,AVE,20328000,ALPHA,ST, , , , ,163870,,"(37.7155624985, -122.402574598)"
492,AMAZON,AVE,21408000,VIENNA,ST, , , , ,384011,,"(37.715070166, -122.434504939)"
493,JUNIPERO SER,BLVD,33468000,JUNIPERO SER,RAMP, , , , ,198670,,"(37.7144766858, -122.471597015)"
494,CHURCH PARKI,0,33714000,CHURCH ACCES,RD, , , , ,245750,,"(37.7143439547, -122.480367202)"
495,ROLPH,ST,21476000,PARIS,ST, , , , ,1086222,,"(37.7150193596, -122.43991875)"
